,userID,username,ranking
58006,1612512,peterr515,Bronze
20787,490593,Vaphmir,Gold
69953,1969559,520MrFluffy,Iron
16482,361588,JohnnyPlease,Gold
13149,262555,Billy Suh,Gold
60784,1693590,hergonomia,Bronze
20722,490528,100DOMO,Gold
1771,1777,Mdtiowe,Master
8060,109566,fiiee,Platinum
53320,1468526,meeesles,Silver
5385,28591,DeoxyCozy,Diamond
61975,1729581,manwithtestes,Bronze
41810,1123516,Sh00ky,Silver
50880,1393586,Und3rHope,Silver
66694,1870600,Billabongtv,Bronze
36028,949534,Royal Shade,Silver
53467,1471573,Shibbs,Silver
9186,142592,ˆYuu n Miˇ,Platinum
1461,1467,rkolde,Master
57514,1597520,Operation AOT,Bronze
18973,436579,Caranorht,Gold
49388,1348594,Apple No Tnx,Silver
51143,1402549,TheSimicSlaw,Silver
45368,1228574,Mitsukuni93,Silver
50790,1390596,JustHamster,Silver
355,361,JungIe is weak,Grandmaster
12406,241512,Reported,Platinum
16579,364585,ceoxqe,Gold
37496,994502,Rhett,Silver
41787,1120593,ForFunRegionKEKW,Silver
41990,1126596,G2 Lombriz,Silver
25046,619552,SheepZeng,Gold
18598,427504,Peañuts,Gold
61703,1723509,Lillia in Heat,Bronze
16970,376576,veldious,Gold
41495,1114501,StellaCaduca,Silver
21681,517587,Rengexist,Gold
29516,754522,BrookingBod,Gold
30519,784525,l int ur game,Gold
61524,1717530,GhostGamer24,Bronze
1820,1826,Maulface,Master
66666,1870572,DaddyEddy17,Bronze
46988,1276594,MURDAFACE,Silver
44536,1204542,lIllIIIllIll,Silver
45365,1228571,Barrack MoBamba,Silver
30196,775502,CorkNuts,Gold
52344,1438550,chairrrrr,Silver
40980,1096586,ENO NEKAWA,Silver
22741,550547,MagicalBeanDip,Gold
18614,427520,SpicyMami,Gold
8840,133546,Medkar,Platinum
5038,19544,qi wei lie ren,Diamond
68227,1918533,SilllySamm,Bronze
36498,964504,ShowerInMySocks,Silver
7016,79522,Coso coach,Platinum
4030,4036,tramkamm2,Master
48246,1315552,BetaOmeediatly,Silver
25794,640600,BLUEFR0G,Gold
47174,1282580,RuinedAngel,Silver
35339,928545,KashKween,Silver
67578,1897584,ToastyCloodio,Bronze
6644,67550,IDKnIDC,Platinum
51149,1402555,Dogmaelfur,Silver
2937,2943,Rugaru,Master
68539,1927545,Nikpans,Bronze
63604,1780510,NAThienDe99,Bronze
67609,1900515,LørdBlunt420,Bronze
44478,1201584,Muraragi298yen,Silver
35117,922523,acbducpyk,Silver
16546,364552,igjuuurlr,Gold
19339,448545,Avalloc,Gold
49646,1357552,Exlegious,Silver
56408,1564514,ShallowGoliath,Silver
69801,1966507,Lorrison,Iron
5010,19516,undercoverist,Diamond
11413,211519,Luv Ü so Machi,Platinum
50820,1393526,Lv 100 Gardevoir,Silver
25905,646511,Jake The Juggler,Gold
17082,379588,URG Riven,Gold
20444,481550,Latté,Gold
17172,382578,420 corona XD,Gold
51365,1408571,SloPkNoob,Silver
15156,322562,ckli,Gold
20141,472547,Xenolexis,Gold
25607,637513,Swirlzzz,Gold
52109,1432515,NinjaWayz213,Silver
44208,1195514,Mr ClamJuice,Silver
59367,1651573,Joeljv,Bronze
12032,229538,ºTeufelshundº,Platinum
11643,217549,FuxxinDominated,Platinum
46649,1267555,PumpyLillow,Silver
21724,520530,1NeonGray1,Gold
44918,1216524,weezact7,Silver
10920,196526,MaltMan,Platinum
45502,1234508,BigBlackDaddy,Silver
24869,613575,SSkipps,Gold
45651,1237557,littlelast,Silver
22822,553528,luhl,Gold
54429,1504535,Mehmetdgn04,Silver
10007,169513,YungBigNasty,Platinum
16265,355571,POWER SHAKALAKA,Gold
6120,52526,Mao Mao YI,Platinum
34505,904511,ShadowZeeOG,Silver
3693,3699,teeoteeo,Master
19199,445505,AQuestionMarc,Gold
26876,673582,phynmoq,Gold
42627,1147533,qqpywbvw,Silver
