,id
388,NA1_4092736620
389,NA1_4092708513
390,NA1_3937404024
391,NA1_3937338388
392,NA1_4074535420
393,NA1_4074490232
394,NA1_3936000205
395,NA1_3935803535
396,NA1_4047434725
397,NA1_3929235192
398,NA1_4091848257
399,NA1_4091777650
400,NA1_4062287258
401,NA1_4050393408
402,NA1_4086499057
403,NA1_4084280788
404,NA1_4060161142
405,NA1_4050668286
406,NA1_4074881350
407,NA1_4073232191
408,NA1_4092864182
409,NA1_4092798144
410,NA1_4043814284
411,NA1_4043792611
412,NA1_4091943641
413,NA1_4091877867
414,NA1_3776937528
415,NA1_3776942358
416,NA1_4079965568
417,NA1_4079962477
418,NA1_4065466070
419,NA1_4061081543
420,NA1_4087752432
421,NA1_4083157577
422,NA1_4039026852
423,NA1_4039045617
424,NA1_4075339920
425,NA1_4075325106
426,NA1_4088132381
427,NA1_4088140468
428,NA1_3888151151
429,NA1_3888095989
430,NA1_4087443652
431,NA1_4009742755
432,NA1_3996911669
433,NA1_3941323219
434,NA1_3873967140
435,NA1_3873927993
436,NA1_4007990644
437,NA1_4007946697
438,NA1_4079761005
439,NA1_4079696447
440,NA1_4080003052
441,NA1_4079956531
442,NA1_4091570910
443,NA1_4091507808
444,NA1_4090990124
445,NA1_4090953872
446,NA1_4063212802
447,NA1_4063202807
448,NA1_4082960207
449,NA1_4043574875
450,NA1_4090246687
451,NA1_4088310615
452,NA1_4008078711
453,NA1_4008083522
454,NA1_4067948509
455,NA1_4046831249
456,NA1_3952345379
457,NA1_3932849369
458,NA1_4092829523
459,NA1_4091635930
460,NA1_4091839202
461,NA1_4091817999
462,NA1_4047660456
463,NA1_4047578270
464,NA1_4085823571
465,NA1_4085756831
466,NA1_4089488405
467,NA1_4089433567
468,NA1_4065720407
469,NA1_3992881604
470,NA1_4088784976
471,NA1_4088772123
472,NA1_4092511583
473,NA1_4092450455
474,NA1_3988145882
475,NA1_3987331164
476,NA1_4037527908
477,NA1_4036498383
478,NA1_4037220917
479,NA1_4037220292
480,NA1_4092692320
481,NA1_4092599017
482,NA1_4090613328
483,NA1_4088621748
484,NA1_3975011062
485,NA1_3974795429
486,NA1_4092388397
487,NA1_4091479856
488,NA1_4048899052
489,NA1_4048719056
490,NA1_3783554830
491,NA1_3782320890
492,NA1_4087079734
493,NA1_4086399810
494,NA1_4016730566
495,NA1_4016242300
496,NA1_4074108509
497,NA1_4073206291
498,NA1_4092510207
499,NA1_4092408176
500,NA1_4092871417
501,NA1_4092823451
502,NA1_3964012807
503,NA1_3963979017
504,NA1_3941796606
505,NA1_3941741675
506,NA1_4092544979
507,NA1_4092488738
508,NA1_4080741114
509,NA1_4074884987
510,NA1_4061090698
511,NA1_4061032489
512,NA1_4077248673
513,NA1_4077303557
514,NA1_4084874926
515,NA1_4084880295
516,NA1_4092937745
517,NA1_4092921127
518,NA1_4029505060
519,NA1_4029481236
520,NA1_4093102641
521,NA1_4092568358
522,NA1_4019687390
523,NA1_4019640283
524,NA1_3844489518
525,NA1_3844508249
526,NA1_3897309849
527,NA1_3846706797
528,NA1_4062999102
529,NA1_3966286965
530,NA1_4023870260
531,NA1_4023805303
532,NA1_3758531273
533,NA1_3758424817
534,NA1_4064759236
535,NA1_4064716327
536,NA1_4080627193
537,NA1_4052765626
538,NA1_4089197699
539,NA1_4067969900
540,NA1_4024445378
541,NA1_4024441124
542,NA1_3966868192
543,NA1_3959421846
544,NA1_4089454209
545,NA1_4089369732
546,NA1_3968307439
547,NA1_3968304855
548,NA1_4031179408
549,NA1_4031127623
550,NA1_4072793197
551,NA1_4072741762
552,NA1_4088072941
553,NA1_4088071813
554,NA1_4050307571
555,NA1_4050335650
556,NA1_4080123513
557,NA1_4079402372
558,NA1_3749655421
559,NA1_3748407831
560,NA1_4092496465
561,NA1_4092166027
562,NA1_4078658477
563,NA1_4078684134
564,NA1_4082343203
