,userID,username,ranking
66116,1867022,Viljamiviikinki,Iron
66530,1879036,NinjaPornjaca69,Iron
7762,115068,Norbert Gïerczak,Platinum
29114,757020,Accev,Gold
47546,1309052,Románek Prymula,Silver
14449,316055,Hanz02,Gold
16734,385040,Domonkosthegreat,Gold
23821,598027,PowerOfMaus,Gold
57381,1603087,MiniTyreal,Bronze
33635,892041,whre is Zz rot,Silver
39553,1069059,aRyZeee,Silver
25950,661056,dressedpotato,Gold
67156,1897062,NawalonyRądel,Iron
41927,1141033,MaKssb,Silver
54926,1531032,Elfmk,Bronze
46363,1273069,tefktros,Silver
36290,970096,Kaitoula Garbi,Silver
23338,583044,Bonix123,Gold
4165,7071,dinusjoker23,Diamond
18635,442041,Kanibal999,Gold
7991,121097,Samsonite turist,Platinum
1531,1537,Sisef,Master
53909,1501015,Gr8Gandalf,Bronze
44200,1210006,GUCCIWRLD,Silver
59833,1678039,purplegauer,Bronze
38729,1045035,avtyzm,Silver
8428,136034,Off Key,Platinum
43589,1189095,Wifred Osuji,Silver
1788,1794,Astro IRL,Master
47948,1321054,Lullabycat,Silver
43659,1192065,CamilleOnTitan,Silver
38800,1048006,Lepi Jednorog,Silver
59721,1675027,rz AtoM,Bronze
31620,832026,OneShoted23,Silver
35140,937046,KillmenCZ,Silver
11066,214072,JediMasterTerror,Platinum
15314,343020,MarkRockwell,Gold
32433,856039,CashCartiPoww,Silver
37725,1015031,ChopperFl,Silver
48754,1345060,TheFizzOne,Silver
42269,1150075,Pyty8969,Silver
12718,265024,Budget teammate,Platinum
59151,1657057,Ajd1n0,Bronze
29737,775043,Barbecúe,Gold
35479,946085,Ρrince Vegeta,Silver
7567,109073,IkubuslokI,Platinum
26840,688046,Loleg594,Gold
14515,319021,BtchKhalifa,Gold
4560,19066,Ambrixen,Diamond
22277,550083,Ov3rMaST3rinG,Gold
14234,310040,Schoolbusss,Gold
19882,478088,Fura8,Gold
67189,1897095,eyes 12,Iron
14002,304008,BiGi Cookie,Gold
39705,1075011,jqierynue,Silver
14202,310008,Rosemaryr,Gold
57757,1615063,budrys7,Bronze
30968,811074,onlyxakanandraja,Silver
6916,91022,joroto,Platinum
63866,1798072,EchokiYo,Bronze
54994,1531100,LordKANE cz,Bronze
50501,1399007,zakolakk,Silver
17074,394080,Soeta Loori,Gold
46016,1264022,Samogon4eg,Silver
55423,1546029,NwtkyJD,Bronze
66660,1882066,DvorkaMr,Iron
30905,811011,WhyNotXDD,Silver
64519,1819025,b0l3,Bronze
63410,1786016,Dobri Boger,Bronze
49065,1354071,Amkaa,Silver
5613,52019,IIAPTu3AHuH,Platinum
6026,64032,player7o2,Platinum
11976,241082,Berty,Platinum
3379,3385,SubozeroPSG,Diamond
59056,1654062,RistaXxX,Bronze
66185,1867091,XxXshad0wXxX,Iron
6682,82088,ErikwPro,Platinum
49267,1360073,Arione11,Silver
52493,1456099,flowerpot100,Silver
9678,172084,Kha to Dia,Platinum
20130,487036,Piros Markoló,Gold
60407,1696013,XxJustIreliaxX,Bronze
14237,310043,Wuker was taken,Gold
7516,109022,ζξζ ø ζξζ,Platinum
64398,1816004,Maros5,Bronze
28622,742028,Catarine bot,Gold
33090,874096,BP Jisoο,Silver
18940,451046,Nemefix,Gold
34112,907018,FittyuhotX,Silver
61661,1732067,RockScroll2834,Bronze
59536,1669042,CcattalinN,Bronze
23110,577016,piernik888,Gold
7550,109056,Reminisce,Platinum
32554,859060,Pat Patrouille,Silver
66114,1867020,okavleasxereis,Iron
57521,1609027,zuzkaxvc1,Bronze
58056,1624062,BummBaxx,Bronze
61021,1714027,S0R4TM,Bronze
26512,679018,FancyTopSoloKill,Gold
8507,139013,Licznerski,Platinum
27182,697088,Inkwoo,Gold
65047,1834053,jesteseziakiem,Bronze
49601,1372007,ToriseTori,Silver
12032,244038,NIGHTB0T,Platinum
1660,1666,white siIence,Master
63729,1795035,Maxi Gi,Bronze
31692,832098,hyeeena,Silver
31213,820019,wtrabke,Silver
23707,595013,69FREAKY69,Gold
47498,1309004,MohamedKing20,Silver
5108,37014,Don Szubieraj,Platinum
20503,499009,TNK Exp0zerr,Gold
31025,814031,SBestLeBlanceu,Silver
19133,457039,BrandonCZ,Gold
3335,3341,Perfect Lee,Diamond
11816,238022,heisennnn,Platinum
15615,352021,SOLT4CE,Gold
29096,757002,LiškisSvK,Gold
63905,1801011,Lunaet,Bronze
9479,166085,pet5421,Platinum
29501,769007,matikarati20053,Gold
34544,919050,enderdax,Silver
31495,829001,Belminjooo,Silver
6943,91049,Durbo,Platinum
55586,1549092,Sanageyama,Bronze
66306,1873012,PanosDo,Iron
46313,1273019,hima522,Silver
31727,835033,emuch,Silver
33304,883010,LuckyDave0,Silver
17614,412020,MH vanbence,Gold
12807,268013,Hank Moody X,Gold
7929,121035,997 Halo Policja,Platinum
59077,1654083,cpdzvsrh,Bronze
43085,1174091,Lil Skrt Pow Pow,Silver
37059,994065,DKHL128,Silver
53338,1483044,dadin0BG,Silver
46948,1291054,bloominggun,Silver
66865,1888071,AlexXD2101,Iron
58020,1624026,Vannx,Bronze
39833,1078039,bigtiddygothsc,Silver
53128,1477034,Georgiana18,Silver
41445,1126051,Zgredek125,Silver
11302,223008,Zorkeelaa,Platinum
62482,1756088,Langyi Bandi,Bronze
14376,313082,Νunu,Gold
30435,796041,Lolzkosmosu,Gold
20738,505044,T1 SPECIAL,Gold
53570,1489076,fldxnn,Bronze
15587,349093,Cheated Ward,Gold
22838,568044,BORO NA 10,Gold
59547,1669053,patryczekqkk,Bronze
24570,619076,on cos tam ten,Gold
4877,28083,THERIZW SITARI,Diamond
48022,1324028,True Drama Queen,Silver
20359,493065,e 08 frate ce ai,Gold
46533,1279039,Zunimasa,Silver
40992,1111098,321ProtoSilvi123,Silver
52755,1465061,krupnik2153,Silver
50446,1396052,Nikola JE Gej,Silver
12409,256015,ZeeK,Platinum
9064,154070,Lord Papriks,Platinum
40122,1087028,Naughty Meeps,Silver
13496,289002,FaZe CμmShot,Gold
64386,1813092,B02l0z,Bronze
17304,403010,Son Goku Blue,Gold
31917,841023,Fisken05,Silver
573,579,Talentless Gon,Grandmaster
20715,505021,R3wdOne,Gold
48010,1324016,H2K BOT,Silver
45768,1255074,no name for 3,Silver
66920,1891026,BmcGo,Iron
20981,511087,FLAGGED 07463133,Gold
27123,697029,PHB Atheist,Gold
57873,1618079,Borderline086,Bronze
46562,1279068,Gotiniqt128,Silver
51935,1441041,Glimmer,Silver
43002,1174008,djeniro1312,Silver
616,622,Iks Deeeeeeee,Grandmaster
48759,1345065,CantWaitForPerma,Silver
31076,814082,kekkizz,Silver
10704,205010,YôüCántSêêMęę,Platinum
23034,574040,Nilfilleniun,Gold
43613,1192019,xMushroomer,Silver
15421,346027,TRINEST DVANEST,Gold
17250,400056,Serac12 XD,Gold
35524,949030,Maty75cz,Silver
7537,109043,REFORMerkD,Platinum
57124,1597030,kolbacevagyok,Bronze
42545,1159051,BartMan2108,Silver
61528,1729034,enwtsipi,Bronze
20783,505089,szyszunia123456,Gold
35184,937090,SayHiToBoogeyman,Silver
27411,706017,2p4ck,Gold
43484,1186090,pikachu1234567,Silver
48199,1330005,Jaybel1,Silver
28178,727084,KRISTERIO 7,Gold
30044,784050,Väÿñè,Gold
33376,883082,KweKwę,Silver
51241,1420047,Cvetaa,Silver
4988,31094,Sensei Tesla,Diamond
60337,1693043,Hellgrina,Bronze
15977,361083,2iqJg,Gold
8553,139059,Anatendo,Platinum
44821,1228027,Zonacra,Silver
55904,1561010,standahefert,Bronze
6753,85059,RagnarsUltimate,Platinum
31602,832008,frylemon,Silver
716,722,Snow Day Gnar,Master
4178,7084,Tsaky,Diamond
39413,1066019,ShiroXD,Silver
18376,433082,Anna Papciak,Gold
66291,1870097,seizakos,Iron
39541,1069047,Mazdy,Silver
38462,1036068,petikheee,Silver
47919,1321025,Bloody Wrench,Silver
7336,103042,Mintcragio,Platinum
54454,1516060,YeetKiddo5087,Bronze
47945,1321051,kindzixaaa,Silver
243,249,KalvinKenny,Grandmaster
49738,1375044,SadKamilek,Silver
35811,958017,top test acc 1,Silver
23448,586054,Desired Heretic,Gold
40495,1099001,lil chive,Silver
16323,373029,PermaGajeroooS,Gold
4002,4008,Highly Religious,Diamond
13214,280020,Weqss,Gold
12059,244065,Hakarí,Platinum
448,454,MCE Kite,Grandmaster
46662,1282068,Karczek z grilla,Silver
47340,1303046,Ziuteczek1,Silver
39297,1063003,Hegemon5,Silver
54257,1510063,Kikss12,Bronze
11939,241045,ZBYSIOK,Platinum
29184,757090,Amaritsu,Gold
36990,991096,kwasnydeszcz,Silver
40784,1105090,DAYE1602,Silver
29381,763087,Jukujuku1,Gold
47669,1312075,Randito19,Silver
20259,490065,Snow Charm,Gold
40254,1090060,Ma5a5heikki,Silver
13746,295052,IvekBJ,Gold
