gameId,gameDuration,gameVersion,platformId,season,winner,1st_baron,1st_dragon,1st_inhibitor,1st_riftHerald,1st_tower,t1_baron_kills,t1_champ_kills,t1_dragon_kills,t1_inhibitor_kills,t1_riftHerald_kills,t1_tower_kills,t1_team_assists,t1_team_gold_earn,t1_team_gold_spen,t1_team_kda,t2_baron_kills,t2_champ_kills,t2_dragon_kills,t2_inhibitor_kills,t2_riftHerald_kills,t2_tower_kills,t2_team_assists,t2_team_gold_earn,t2_team_gold_spen,t2_team_kda
-269012998,25.0,11.17.394.4489,NA1,11,2,2,2,2,1,2,0,27,1,0,1,0,34,42536,40210,1.8484849,1,33,2,1,0,9,33,53147,47408,2.4444444
-291313404,24.0,11.15.389.2308,NA1,11,2,0,2,2,1,1,0,22,0,0,1,2,27,43285,42150,1.1395348,0,43,3,2,1,10,55,52869,46125,4.4545455
-233689038,35.0,11.19.398.9466,NA1,11,1,2,2,1,1,2,1,54,3,2,1,9,84,74687,63950,3.942857,1,35,3,0,1,3,53,64559,63720,1.6296296
-233655868,31.0,11.19.398.9466,NA1,11,1,1,1,1,2,1,2,37,4,2,0,9,56,65520,57983,2.90625,0,32,1,0,1,3,49,56124,53818,2.1891892
-306547931,28.0,11.15.388.2387,NA1,11,2,2,1,2,2,1,0,25,2,0,0,3,38,53002,50300,1.75,1,36,2,2,1,11,52,58282,51785,3.52
-306580412,15.0,11.15.388.2387,NA1,11,1,0,2,0,1,1,0,25,1,0,1,4,22,32959,30115,11.75,0,4,1,0,0,0,2,19938,16700,0.24
-230840728,39.0,11.20.400.7328,NA1,11,1,2,2,1,2,2,1,36,1,2,1,8,69,70926,65770,3.75,2,28,5,1,1,7,47,69703,69370,2.0833333
-232183406,24.0,11.19.398.9466,NA1,11,2,2,2,2,2,2,0,18,0,0,0,0,23,39543,37650,1.3225807,1,31,3,1,1,8,42,55123,49450,4.0555553
-272217425,32.0,11.17.393.607,NA1,11,2,2,2,2,2,2,0,21,1,0,0,1,34,49709,48375,1.7741935,1,31,3,1,2,6,39,58822,54325,3.3333333
-273362748,37.0,11.16.390.1945,NA1,11,1,1,1,1,2,1,1,35,5,2,1,10,55,68275,63360,4.5,0,20,0,0,1,1,29,57532,54275,1.4
-202336834,22.0,11.22.406.3587,NA1,11,2,0,1,2,2,2,0,8,1,0,0,0,9,32979,29985,0.5151515,0,33,2,1,1,7,44,51101,47880,9.625
-203437117,26.0,11.22.406.3587,NA1,11,1,1,1,1,1,1,1,45,4,2,2,11,74,62077,56925,5.409091,0,22,0,0,0,0,43,45989,42975,1.4444444
-227454767,22.0,11.20.400.7328,NA1,11,1,0,2,1,2,1,0,41,1,1,1,8,38,46662,40710,3.95,0,20,2,0,1,0,19,35831,33495,0.9512195
-227528985,22.0,11.20.400.7328,NA1,11,2,0,2,2,2,2,0,13,0,0,0,0,12,33687,32745,0.65789473,0,38,3,2,2,9,40,52314,45285,6.0
-201815161,29.0,11.22.406.3587,NA1,11,1,1,1,1,2,2,1,34,3,4,0,11,44,57860,49040,3.3913043,0,23,1,0,2,5,33,53376,49550,1.6470588
-202981824,29.0,11.22.406.3587,NA1,11,2,0,2,2,0,1,0,18,0,0,0,3,20,45461,44100,0.9047619,0,42,3,1,0,5,59,54768,47285,5.611111
-451101212,31.0,11.6.365.1420,NA1,11,2,2,2,2,2,2,0,16,0,0,0,2,18,45753,44450,0.73913044,1,46,4,3,1,10,38,63426,55310,5.25
-453737760,45.0,11.6.365.1420,NA1,11,1,2,2,1,1,1,1,65,3,3,1,10,61,86500,77285,1.96875,1,64,3,1,1,6,65,87269,79405,1.9846153
-281890220,31.0,11.16.390.1945,NA1,11,2,2,1,2,2,2,0,17,2,0,0,1,30,48444,47125,1.6206896,1,29,3,2,1,10,33,60915,54725,3.6470587
-281873009,20.0,11.16.390.1945,NA1,11,2,0,2,2,1,2,0,7,0,0,1,0,9,26679,26725,0.61538464,0,26,3,2,0,11,26,44604,36085,7.428571
-201985181,30.0,11.22.406.3587,NA1,11,1,0,1,1,2,2,0,38,4,3,1,11,43,58741,55305,3.24,0,25,0,0,1,3,48,52200,48110,1.9210526
-202046614,39.0,11.22.406.3587,NA1,11,1,0,1,1,1,2,0,47,4,3,1,7,56,68893,58380,2.288889,0,45,1,1,0,7,65,68777,67225,2.3404255
-368722029,40.0,11.11.377.6311,NA1,11,2,2,2,2,2,2,0,59,1,0,0,3,82,76561,74000,1.9583334,2,72,5,4,1,11,77,87504,84643,2.5254238
-368852677,23.0,11.11.377.6311,NA1,11,1,0,1,1,1,1,0,29,3,4,2,11,44,44819,38860,14.6,0,5,0,0,0,0,4,30639,27075,0.31034482
-202541264,33.0,11.22.406.3587,NA1,11,2,0,1,2,1,1,0,42,3,0,2,4,53,63862,61235,1.532258,0,62,1,1,0,8,92,72986,65410,3.6666667
-202545720,41.0,11.22.406.3587,NA1,11,1,1,1,2,1,1,2,45,4,2,1,10,54,83169,77835,3.5357144,0,28,2,1,1,5,57,72645,68400,1.8888888
-337990032,29.0,11.13.382.1241,NA1,11,2,2,2,2,2,2,0,10,0,0,0,1,13,43348,40873,1.0454545,1,22,4,2,1,9,32,57487,52958,5.4
-338042920,24.0,11.13.382.1241,NA1,11,1,0,2,1,1,1,0,27,2,2,2,9,55,51083,45675,4.1,0,20,2,0,0,0,38,40295,36410,2.148148
-248859111,31.0,11.18.395.7538,NA1,11,2,0,2,2,1,2,0,24,1,0,1,2,29,52530,54000,1.4324324,0,37,4,3,1,10,44,63198,60808,3.375
-256113034,34.0,11.18.395.7538,NA1,11,1,2,1,2,1,1,0,24,3,1,2,8,42,58802,52020,1.9411764,1,34,3,1,0,7,50,60076,57535,3.5
-206986329,28.0,11.21.403.3002,NA1,11,1,1,2,1,1,1,1,38,1,2,2,11,51,58836,53535,2.9666667,0,30,2,0,0,3,25,50213,45350,1.4473684
-207038783,29.0,11.21.403.3002,NA1,11,1,1,1,1,1,2,2,41,3,3,1,10,56,66918,59700,4.0416665,0,24,1,0,1,3,30,50551,47445,1.3170732
-204147880,23.0,11.22.406.3587,NA1,11,2,2,2,2,2,2,0,14,0,0,0,1,15,36126,34075,1.0357143,1,28,3,1,2,8,27,48193,40625,3.9285715
1210836229,23.0,11.20.400.7328,EUW1,11,1,0,2,1,1,1,0,19,2,1,2,8,16,43154,38775,3.8888888,0,9,2,0,0,0,14,31805,27000,1.2105263
1242121102,31.0,11.22.406.3587,EUW1,11,1,2,1,1,2,2,0,60,4,2,1,11,77,70049,60625,3.7027028,1,37,0,0,1,6,35,61715,60185,1.2
1242051199,35.0,11.22.406.3587,EUW1,11,2,2,1,1,2,2,0,36,1,2,0,7,76,62454,60810,2.8,2,40,4,1,1,8,75,68511,61360,3.1944444
1245435780,33.0,11.22.406.3587,EUW1,11,1,0,2,1,1,1,0,34,4,1,1,7,40,61320,57935,3.3636363,0,22,2,0,0,2,24,52523,49160,1.3529412
1141335101,35.0,11.17.394.4489,EUW1,11,1,0,1,1,2,2,0,44,5,2,0,10,67,70362,64775,4.269231,0,26,0,0,1,2,42,58380,56025,1.5454545
1241927058,28.0,11.22.406.3587,EUW1,11,2,2,2,2,2,2,0,24,0,0,0,2,36,45248,42850,1.4634147,1,41,4,1,2,8,60,56999,50950,4.2083335
1241900854,29.0,11.22.406.3587,EUW1,11,2,2,1,2,0,2,0,15,1,0,0,0,22,43583,41935,0.94871795,1,39,2,2,0,10,34,59412,51800,4.866667
1234319249,29.0,11.21.403.3002,EUW1,11,1,1,2,1,1,1,1,46,1,2,2,10,61,64147,56625,3.34375,0,32,3,0,0,1,60,54724,52550,2.0
1228724887,32.0,11.21.403.3002,EUW1,11,1,2,1,1,1,1,0,39,2,1,1,8,46,64168,55375,2.3611112,1,36,2,0,0,2,51,60137,57425,2.2307692
962391733,36.0,11.9.372.2066,EUW1,11,1,1,2,1,1,1,1,52,3,2,1,10,50,70678,63525,3.7777777,0,27,2,0,0,5,35,58651,54900,1.1923077
942818139,25.0,11.9.372.2066,EUW1,11,2,0,2,2,2,2,0,25,0,0,0,2,23,42211,40070,1.2,0,40,2,2,2,11,46,54245,47425,3.44
1245275003,37.0,11.22.406.3587,EUW1,11,2,2,2,2,2,2,0,34,2,0,0,1,36,68861,64350,1.3461539,1,52,4,3,1,11,69,77130,70700,3.5588236
1245218498,28.0,11.22.406.3587,EUW1,11,1,1,1,1,2,1,1,41,1,1,0,8,61,58936,49075,6.0,0,17,2,0,1,2,25,43779,41970,1.0243902
1244931241,23.0,11.22.406.3587,EUW1,11,1,0,1,1,2,2,0,35,2,2,0,10,36,49820,42945,3.7368422,0,19,1,0,1,1,24,38984,36910,1.2285714
1244895461,38.0,11.22.406.3587,EUW1,11,1,1,2,1,2,2,2,37,2,3,0,10,52,74701,68485,2.6176472,0,34,3,0,1,3,32,66928,63435,1.7837838
1220576923,41.0,11.21.403.3002,EUW1,11,2,1,1,1,1,2,1,65,2,1,1,7,61,88199,85300,1.8529412,0,68,4,2,0,8,75,83671,79675,2.2
1220531589,24.0,11.21.403.3002,EUW1,11,1,0,2,1,2,2,0,30,3,1,0,8,41,51105,46143,2.3666666,0,30,1,1,1,7,36,52023,46305,2.2
1035324412,23.0,11.12.379.4946,EUW1,11,2,0,2,0,2,1,0,14,0,0,0,1,14,35937,34000,0.8484849,0,33,3,0,1,6,43,44641,39875,5.428571
1035070024,32.0,11.12.379.4946,EUW1,11,2,1,1,1,1,1,1,32,2,1,2,8,32,61942,58750,1.5238096,0,42,2,3,0,11,44,65369,57700,2.6875
1215186370,39.0,11.20.400.7328,EUW1,11,1,1,2,2,1,1,2,55,4,2,1,11,74,84959,72565,2.5294118,0,51,2,2,1,6,74,75896,73065,2.2727273
