,puuid
75,pgkrv_-6InYIZ_FCzabDi0Cdw1P97Smt4QwlQlS6cdk9Y4wydQ1d1k_SuxIrt10x9p55q_4q4gzvzw
76,YyYqTqyuLaPoYOHrQ_rAtdcaNVUFSxOBKKKopme56LXwAoqSscLmZttG6mPuTx6whEtF2Y2xMZ9j3Q
77,wr8vfJt8HBIQzhrfljUCAU8yHfhBPU3UfEOMhPCqe8F_NRyD4j3lLcGfAEz7O1wNE-N4iZc4IWgrzA
78,9skLBh9HTAcPY2P8S1Mj7v8pPkvAtMP_cgNhVYZ_Y6qeB9oaSiN5zORN5CLsZpa7qGI0XjXi1ovTqw
79,K4RAAPMTXwHYtodCI1MNS2uMIUjcvbOBpXUjIX-HO1EwyDHQP5mfGilq9LENhp2NAnr1TqH6aP0V1w
80,XnNxTIQcHPhv8h2lxFzwPVqygUXlnM24q8CvP1RjKlWD70tmGtGtBD0BH-s-B3FJFvUhdyoa1ekb8A
81,_L97YUF7iWjoGJsMhhFAPlKdtAPEfjAQkxaqyFwXltnJwLMb9iA7nU0GzsbRqhzX8aPI83V2FMSAKA
82,MYiDBJm9oTluD_CzU9JxUaKgPovsy1u4LUyeJH-VyWfpthPH3_MzfRj815RPxd6KyOK2thoudCALBg
83,s2DXJisJ7sgY0_OoG7XUq6n1w7mElVHmYmiqtd3fVqVEWXE0pVz8AWV-l-SPoXnA1z5YvZnjwZpE5w
84,mWLusgQJEZnbTKaCoeGTg_4-2eBk44hDwSkASKGAzgA7qQeTpNF2h87I7ZGEdyJQmHbIDUqOBjC18w
85,3Pm61IikAHooR3QHM_4AwEnI08z-YrSUJGZtnvhtyeMmfdqUngXBvldzd27fIqY6t8D7gqf8KOD9Mw
86,C_2RlVd3fYX7a47lIFAPTqtKKAP-ygdEvxywLg7Rk1LzV5Zn_0559thv9MzXjF09qfnYKMOfh-58EA
87,QUc9u3gAnRrriXdq5wWrsOMUuq_Cc-b1HyIM9ZGVb02xP-LMvHLJukSRJO0X9RDP-Ej4qI1ACOTllw
88,WmiYEFOy2AZ4guRY6HCO8e-VYxL86joiAqYhck38_CSSHS9DBoZBcS4kpJvFT9ddPgceuhgT3KZMYw
89,yyukCKEcgHTeMRurRWLavwb1ZKJKtfupt_QaOInSDjn3Cagjr2IvlcyLd3QhNSQeKBOC8r65ELzxQQ
90,GQpykrfi1OX7oSZfK4Vk3X69mVF4CRFh60MBOHIbDp5UB3rqJ2daiXvUQqDoXXyxYL1r8UVYxn5Qbg
91,kZNlijDVIcpU4DQsOckxVGuNfSi7RV9tnT2O3R31JS_vrx1AeLmQAkXgszJ9elJyx1l4uCGVgE7DMA
92,2l8Z6CY-HlIqsZdMBYbYRqHg1u_ypSq0A2gr_iM4RcgPXW_vZPVb-bC_6Is-ec2PWM8bOaZrmm5FvA
93,NgSIZVo5s9C7amAe8Mm9OZB82h6JMVwbFKaPbr1hw2xhD_0n5qoGWlOx_QvJxg5eouY6VJy1kUhGig
94,gffz8HcjWgCVfyVMx_vEU8B3SzbfWxGTI8W1MzsL4AfJ2VpZCsho1iybUkOz4OjJn5JLPJjvZvSYaA
95,-Kkf4TfzdpJzHGVKL2Vuq9f5Z9fLJA95m5fiTWvnOGAlLvoIbvDoznXuj0P_c0_-ibnAt16FkTkIEg
96,QbW-u_5TymySbXJgpo3wvkbMO2cEUU-wWrHzRZpmrUpO5iuJtj1Kg0bjN0Cp3qkf-8JVZM6Wd3jinQ
97,gzJ4v6Opu8Z5eJ46cGWLsvHOY_k62vS5XX5cand19xDHFZms7XBY2nuENUnER_vE3tOApanXRrn-WQ
98,t14-DXQNN3ryNVIMfW4gLU2noA9jTRjQT-zg-7z3sGxvzLW4GniAslbTW8hx_OZjF_YdTVJm0wH5jw
99,RTE-7w47y8VqEwAQgaOAxXINOx_UvbpxSac_fdiz7GqXCJg0NWSBG2WoE6y_NyRUx72lBmnEJIkTaw
100,skZP4rnCZzXQQZ-Ob8kQBvur7TPmDnKePkku4kjwr8v8Zq-5o8bg6TxOuwdUXA9ZZ1I1d13RwBrKcg
101,CT74DcUQ0dg1sbdFNNLa0zO29W6rppFldbLRn89jBSItRwmyCtrifZG1qNuT77RR9ZyaWkg9X604Hw
102,EuKCMuqItHWpjV_hnQ_u_v0D8t8oVYmHBGFdTxDQm4GgSRW8ME5cNf81-PN2Inef5LlNihXPQoKx9A
103,sFgk9cBfxVcnF8CFLJmLm1Oasdm6Pr1B8A0uVC1WdN_x9hDTxvLFHIMaUwvWYy_4_K1dH0wsHZSDSQ
104,1nn1sAwUvI9WC7bJJnw58OINlBZ44OcWNJ0H1v9ebxZ5ncZT2ptN9EwN3mBYYzVujFnv_juAZSjnyQ
105,aUfvbf8lbYBFVnI_fTuEaMBO4deRyO2UL-uEnLTm6a3qORlhLGPWxS99Z1lvZDUxyt95zgvY_cabXQ
106,FSv00_ccBAB4ECMrsihxde-_yrK9jz2BwMrR_TOwODjId2fGq5RkucZv0LTPBY53qt2a-MzLvMznQQ
107,a1SbM13rafqq1EIlVyVTdYx0jSsWYM1vQ89wrLbdlbOkyYoDgoGrkxWTl4KcJwhYmXXjroaJmn_U2A
108,NLuyStprykqtzKC8gB24cZBoTESRKBWKH7Y6hqQim90O3sQRYNYvuQAoctEFJggIvgUpQA1LzxPoCA
109,wWM2mdEUf2G3ly1Njp1-2b-pIPbxGdXhupSg3ZW0U3Hmqx3NnMmTEYzB6rH5A0eDbN3XgymZlqWGDA
110,rgzMrYVZfEEVe5aquNDRKBy2p4n-6lKwKvKOjxh0YsJpXtHxrlZiwDwArPFW8QK8aPp6zGH7qQ60HQ
111,3I7wR2BP5gtmd6mGJqyTnEpHTDjOYdz0pHGHTkBrmPSqyHpJ4XA6utgs06MdPRh6HMNmW386a6Lt4g
112,FQnlQFpJyTlhjyHs1auoGuIWKw6_r_IbvQB199Ckdkhbb0KxQDTw3hKK201KQy5jIT_8Os89oQvAiQ
113,h1R-lHbk-wCkkzFr4ihKIaiND_z2XiArtI7VXmM2OOY0l24FcMUcNjNvd6fYG5Cx_vrO0omtICF_-w
114,Tc-ui3DXDQAQ7CS8sTBtjEgImkgjmf1aRsVVZvI3Yd1p5DZhSNmnWOKUEFrj49qMVv8LlWsUONXJcg
115,R0tX4oATKXvssK12wEXuR1SUm__TMTy1IemxV4pwDgo8Ip7_tKFsC6akH3gKwJ-YeN4UB2l-IZ0OMA
116,Ljiouuw5VUewaqOHjzG7D311O052qG3mOWsacKnvhVh3l2GAVk60IMD_Z8ucz9pV3aVzGYqqL8UQbg
117,0_DuproQWKNT3febHD_Ka7IZAdvqpfLYLGbY1kCVbKKaAiRTk0Pd0nrLAoUcadyenB3gbVWM24Y_ag
